
Rk,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO
1,Vancouver Canucks,28.3,4,4,0,0,8,1.000,10,6,1.35,0.35,4.00,1,15,6.67,1,12,91.67,0,0,108,8.3,98,.949,101.6
2,Edmonton Oilers,26.3,5,4,1,0,8,.800,20,16,0.97,0.17,7.20,3,16,18.75,3,19,84.21,1,2,141,14.2,168,.905,103.1
3,Washington Capitals,27.8,4,3,0,1,7,.875,11,6,1.58,0.33,4.25,2,14,14.29,3,11,72.73,0,0,138,8.0,98,.949,103.0
4,Pittsburgh Penguins,29.6,5,3,1,1,7,.700,12,14,0.09,0.49,5.20,5,23,21.74,4,21,80.95,0,0,162,6.8,174,.920,99.3
5,St. Louis Blues,27.5,5,3,1,1,7,.700,13,11,0.95,0.55,4.80,4,19,21.05,1,17,94.12,0,0,141,9.2,123,.919,100.4
6,Montreal Canadiens,28.7,4,3,0,1,7,.875,16,7,2.28,0.03,5.75,3,16,18.75,1,19,94.74,0,1,123,13.0,134,.955,107.3
7,Colorado Avalanche,28.1,4,3,1,0,6,.750,14,11,1.11,0.36,6.25,4,14,28.57,6,17,64.71,0,0,98,14.3,126,.913,104.8
8,Ottawa Senators,29.0,4,3,1,0,6,.750,17,16,0.77,0.52,8.25,1,11,9.09,4,17,76.47,2,0,142,11.3,122,.869,98.5
9,Detroit Red Wings,28.1,5,3,2,0,6,.600,17,15,0.66,0.26,6.40,6,19,31.58,6,19,68.42,0,1,140,12.1,170,.924,103.2
10,San Jose Sharks,29.3,5,3,2,0,6,.600,14,15,-0.87,-0.67,5.80,3,16,18.75,4,13,69.23,0,0,161,8.7,120,.892,97.2
11,Boston Bruins,28.2,4,3,1,0,6,.750,13,9,0.74,-0.26,5.50,1,14,7.14,2,15,86.67,0,0,123,10.6,119,.924,102.7
12,Minnesota Wild,28.0,4,3,1,0,6,.750,15,11,0.93,-0.07,6.50,2,16,12.50,1,14,92.86,0,0,105,14.3,111,.901,103.4
13,Tampa Bay Lightning,26.9,4,3,1,0,6,.750,13,13,0.57,0.57,6.50,3,15,20.00,1,10,90.00,0,1,125,9.6,113,.885,98.4
14,Dallas Stars,29.0,4,2,1,1,5,.625,14,13,-0.80,-1.05,6.75,3,14,21.43,4,17,76.47,0,1,105,13.3,135,.904,103.4
15,Florida Panthers,28.3,4,2,1,1,5,.625,11,10,0.86,0.61,5.25,1,12,8.33,0,8,100.00,1,0,131,8.4,103,.913,99.5
16,Winnipeg Jets,26.0,4,2,2,0,4,.500,14,16,0.13,0.63,7.50,2,16,12.50,5,14,64.29,1,0,112,12.5,122,.877,99.3
17,Chicago Blackhawks,28.6,5,2,3,0,4,.400,18,18,-1.23,-1.23,7.20,5,18,27.78,11,19,42.11,0,0,132,13.6,150,.893,102.1
18,New York Islanders,28.5,5,2,3,0,4,.400,12,14,-0.74,-0.34,5.20,1,14,7.14,1,19,94.74,1,0,134,9.0,144,.910,99.0
19,New York Rangers,27.6,4,2,2,0,4,.500,15,12,0.75,0.00,6.75,2,14,14.29,3,16,81.25,0,0,136,11.0,95,.874,99.1
20,Carolina Hurricanes,26.6,4,1,1,2,4,.500,13,14,0.23,0.48,6.75,5,16,31.25,1,16,93.75,0,1,114,11.4,111,.874,99.5
21,Toronto Maple Leafs,25.7,4,1,1,2,4,.500,14,14,0.64,0.64,7.00,3,13,23.08,2,12,83.33,0,0,135,10.4,116,.879,99.1
22,New Jersey Devils,28.6,4,1,2,1,3,.375,6,8,-0.37,0.13,3.50,3,15,20.00,1,14,92.86,0,0,115,5.2,128,.938,99.2
23,Calgary Flames,27.8,5,1,3,1,3,.300,14,21,-0.54,0.86,7.00,1,22,4.55,6,27,77.78,2,1,161,8.7,139,.871,96.0
24,Philadelphia Flyers,28.0,4,1,2,1,3,.375,13,16,-2.35,-1.60,7.25,3,17,17.65,3,13,76.92,0,1,109,11.9,113,.867,98.6
25,Anaheim Ducks,27.5,5,1,3,1,3,.300,10,14,-1.63,-0.83,4.80,2,18,11.11,4,25,84.00,1,0,147,6.8,145,.903,97.7
26,Buffalo Sabres,26.2,4,1,2,1,3,.375,11,12,0.77,1.02,5.75,4,21,19.05,1,14,92.86,0,0,103,10.7,111,.892,99.9
27,Nashville Predators,27.9,4,1,3,0,2,.250,10,14,-1.65,-0.65,6.00,8,15,53.33,4,16,75.00,0,0,124,8.1,130,.900,97.9
28,Arizona Coyotes,27.1,4,1,3,0,2,.250,12,18,-1.51,-0.01,7.50,2,17,11.76,2,13,84.62,2,2,124,9.7,145,.883,97.5
29,Los Angeles Kings,28.5,4,1,3,0,2,.250,10,15,-2.02,-0.77,6.25,2,14,14.29,3,13,76.92,0,0,116,8.6,106,.868,95.5
30,Columbus Blue Jackets,25.8,3,1,2,0,2,.333,8,11,-1.46,-0.46,6.33,4,7,57.14,1,11,90.91,0,0,87,9.2,107,.916,99.0
,League Average,27.8,4,2,2,1,5,.559,13,13,0.00,0.00,6.09,3,16,18.90,3,16,81.10,0,0,126,10.3,126,.903,
